,Valores
1000,751.47
1001,752.97
1002,755.53
1003,759.23
1004,760.15
1005,755.63
1006,756.07
1007,758.7
1008,761.06
1009,764.56
1010,768.48
1011,771.08
1012,776.8
1013,770.76
1014,774.28
1015,778.05
1016,780.41
1017,782.94
1018,786.69
1019,785.52
1020,786.87
1021,787.81
1022,792.31
1023,792.18
1024,793.02
1025,789.28
1026,793.03
1027,794.28
1028,790.65
1029,786.39
1030,788.8
1031,792.88
1032,796.53
1033,800.47
1034,797.24
1035,799.57
1036,797.79
1037,777.28
1038,779.2
1039,782.7
1040,786.53
1041,783.42
1042,781.39
1043,785.45
1044,790.12
1045,792.62
1046,790.24
1047,788.85
1048,791.15
1049,789.11
1050,779.24
1051,783.78
1052,792.5
1053,788.64
1054,783.47
1055,784.58
1056,790.55
1057,795.05
1058,792.12
1059,793.05
1060,789.09
1061,789.2
1062,792.8
1063,793.52
1064,798.99
1065,803.85
1066,803.93
1067,797.3
1068,796.34
1069,797.51
1070,786.68
1071,783.45
1072,772.5
1073,755.29
1074,744.91
1075,743.46
1076,727.41
1077,750.95
1078,750.72
1079,755.17
1080,748.71
1081,748.11
1082,739.22
1083,727.38
1084,727.31
1085,727.97
1086,720.45
1087,712.85
1088,705.52
1089,718.74
1090,722.56
1091,730.8
1092,734.21
1093,731.69
1094,733.84
1095,740.68
1096,739.37
1097,740.3
1098,740.55
1099,732.86
1100,722.96
1101,725.0
1102,717.0
1103,719.61
1104,716.92
1105,711.91
1106,711.52
1107,721.9
1108,727.31
1109,726.7
1110,724.95
1111,731.47
1112,732.07
1113,731.64
1114,733.14
1115,735.19
1116,735.52
1117,739.5
1118,742.38
1119,743.43
1120,739.3
1121,729.79
1122,728.88
1123,734.25
1124,731.7
1125,735.98
1126,735.84
1127,734.97
1128,729.35
1129,718.85
1130,708.79
1131,712.74
1132,700.85
1133,693.79
1134,702.68
1135,702.05
1136,704.01
1137,705.96
1138,706.85
1139,703.59
1140,701.0
1141,706.53
1142,707.46
1143,706.83
1144,709.59
1145,719.35
1146,721.56
1147,721.36
1148,722.62
1149,719.32
1150,712.77
1151,715.03
1152,716.68
1153,716.88
1154,715.66
1155,712.13
1156,712.43
1157,722.16
1158,724.85
1159,724.8
1160,723.69
1161,720.18
1162,718.67
1163,720.47
1164,722.61
1165,728.2
1166,728.2
1167,731.61
1168,732.89
1169,735.51
1170,742.66
1171,742.17
1172,742.43
1173,742.29
1174,747.98
1175,751.72
1176,754.8
1177,762.94
1178,763.21
1179,766.46
1180,765.62
1181,758.95
1182,759.23
1183,759.48
1184,764.28
1185,769.3
1186,763.73
1187,760.01
1188,765.83
1189,768.61
1190,778.66
1191,777.91
1192,776.72
1193,766.74
1194,760.71
1195,760.44
1196,757.46
1197,755.63
1198,755.37
1199,760.01
1200,759.34
1201,764.29
1202,760.88
1203,747.3
1204,746.28
1205,744.19
1206,749.96
1207,756.81
1208,765.57
1209,767.0
1210,767.89
1211,767.08
1212,765.78
1213,764.81
1214,770.62
1215,768.24
1216,765.38
1217,761.21
1218,758.26
1219,763.24
1220,767.47
1221,776.15
1222,777.49
1223,772.19
1224,771.82
1225,772.1
1226,766.08
1227,762.31
1228,767.54
1229,767.25
1230,764.38
1231,762.12
1232,768.14
1233,769.02
1234,769.64
1235,765.84
1236,764.67
1237,757.74
1238,741.21
1239,736.7
1240,742.52
1241,745.73
1242,751.48
1243,750.32
1244,741.19
1245,745.02
1246,745.71
1247,741.23
1248,734.27
1249,719.12
1250,719.05
1251,719.12
1252,719.49
1253,725.67
1254,730.68
1255,729.07
1256,727.89
1257,728.51
1258,737.12
1259,739.34
1260,742.19
1261,746.19
1262,742.46
1263,749.53
1264,751.96
1265,743.58
1266,745.84
1267,745.66
1268,749.69
1269,752.09
1270,756.52
1271,755.74
1272,756.51
1273,762.16
1274,768.16
1275,772.14
1276,772.38
1277,768.55
1278,762.05
1279,759.51
1280,763.2
1281,760.98
1282,757.56
1283,758.91
1284,751.83
1285,755.2
1286,758.31
1287,763.64
1288,772.06
1289,778.85
1290,778.97
1291,783.77
1292,785.44
1293,790.43
1294,789.42
1295,790.62
1296,795.63
1297,793.31
1298,786.97
1299,784.62
1300,787.93
1301,791.35
1302,791.08
1303,784.5
1304,793.73
1305,791.87
1306,793.68
1307,798.79
1308,797.77
1309,791.33
1310,795.81
1311,796.24
1312,802.22
1313,802.31
1314,808.24
1315,807.38
1316,809.34
1317,808.33
1318,810.49
1319,809.78
1320,809.1
1321,811.39
1322,818.66
1323,822.63
1324,826.14
1325,819.16
1326,816.86
1327,817.21
1328,818.05
1329,813.72
1330,816.32
1331,813.8
1332,814.69
1333,821.26
1334,824.83
1335,828.59
1336,832.64
1337,830.82
1338,825.74
1339,816.55
1340,819.01
1341,823.44
1342,828.91
1343,831.28
1344,836.91
1345,840.95
1346,843.98
1347,841.63
1348,841.79
1349,850.26
1350,846.75
1351,843.53
1352,849.29
1353,848.17
1354,847.62
1355,853.83
1356,858.94
1357,863.06
1358,868.25
1359,871.93
1360,864.06
1361,864.32
1362,871.18
1363,879.64
1364,877.98
1365,877.32
1366,871.87
1367,858.7
1368,864.58
1369,868.82
1370,872.97
1371,882.85
1372,879.4
1373,881.58
1374,886.13
1375,884.38
1376,887.98
1377,894.23
1378,895.72
1379,902.68
1380,908.65
1381,922.09
1382,929.83
1383,929.19
1384,940.09
1385,938.87
1386,926.98
1387,919.56
1388,920.52
1389,926.81
1390,933.45
1391,934.53
1392,941.82
1393,952.93
1394,969.76
1395,976.63
1396,970.22
1397,988.63
1398,994.15
1399,999.33
1400,1005.9
1401,988.53
1402,952.83
1403,960.57
1404,961.77
1405,978.57
1406,993.75
1407,1000.2
1408,1010.7
1409,1005.3
1410,1001.2
1411,991.11
1412,983.75
1413,982.7
1414,991.09
1415,995.22
1416,997.12
1417,1005.1
1418,1000.6
1419,1004.1
1420,1012.4
1421,1012.4
1422,1025.8
1423,1029.2
1424,1031.3
1425,1019.7
1426,1025.3
1427,1028.2
1428,1020.9
1429,1020.0
1430,1008.1
1431,1003.6
1432,1012.6
1433,1020.1
1434,1019.5
1435,1039.3
1436,1044.3
1437,1051.1
1438,1060.0
1439,1066.6
1440,1065.0
1441,1067.4
1442,1067.0
1443,1051.1
1444,1050.2
1445,1060.3
1446,1065.1
1447,1058.5
1448,1053.4
1449,1046.2
1450,1038.0
1451,1026.5
1452,1047.0
1453,1043.5
1454,1027.6
1455,1020.5
1456,1002.3
1457,1014.2
1458,1012.0
1459,984.74
1460,983.47
1461,1001.6
1462,1015.6
1463,1018.4
1464,1018.1
1465,1035.4
1466,1045.1
