,Valores
1300,787.93
1301,791.35
1302,791.08
1303,784.5
1304,793.73
1305,791.87
1306,793.68
1307,798.79
1308,797.77
1309,791.33
1310,795.81
1311,796.24
1312,802.22
1313,802.31
1314,808.24
1315,807.38
1316,809.34
1317,808.33
1318,810.49
1319,809.78
1320,809.1
1321,811.39
1322,818.66
1323,822.63
1324,826.14
1325,819.16
1326,816.86
1327,817.21
1328,818.05
1329,813.72
1330,816.32
1331,813.8
1332,814.69
1333,821.26
1334,824.83
1335,828.59
1336,832.64
1337,830.82
1338,825.74
1339,816.55
1340,819.01
1341,823.44
1342,828.91
1343,831.28
1344,836.91
1345,840.95
1346,843.98
1347,841.63
1348,841.79
1349,850.26
1350,846.75
1351,843.53
1352,849.29
1353,848.17
1354,847.62
1355,853.83
1356,858.94
1357,863.06
1358,868.25
1359,871.93
1360,864.06
1361,864.32
1362,871.18
1363,879.64
1364,877.98
1365,877.32
1366,871.87
1367,858.7
1368,864.58
1369,868.82
1370,872.97
1371,882.85
1372,879.4
1373,881.58
1374,886.13
1375,884.38
1376,887.98
1377,894.23
1378,895.72
1379,902.68
1380,908.65
1381,922.09
1382,929.83
1383,929.19
1384,940.09
1385,938.87
1386,926.98
1387,919.56
1388,920.52
1389,926.81
1390,933.45
1391,934.53
1392,941.82
1393,952.93
1394,969.76
1395,976.63
1396,970.22
1397,988.63
1398,994.15
1399,999.33
1400,1005.9
1401,988.53
1402,952.83
1403,960.57
1404,961.77
1405,978.57
1406,993.75
1407,1000.2
1408,1010.7
1409,1005.3
1410,1001.2
1411,991.11
1412,983.75
1413,982.7
1414,991.09
1415,995.22
1416,997.12
1417,1005.1
1418,1000.6
1419,1004.1
1420,1012.4
1421,1012.4
1422,1025.8
1423,1029.2
1424,1031.3
1425,1019.7
1426,1025.3
1427,1028.2
1428,1020.9
1429,1020.0
1430,1008.1
1431,1003.6
1432,1012.6
1433,1020.1
1434,1019.5
1435,1039.3
1436,1044.3
1437,1051.1
1438,1060.0
1439,1066.6
1440,1065.0
1441,1067.4
1442,1067.0
1443,1051.1
1444,1050.2
1445,1060.3
1446,1065.1
1447,1058.5
1448,1053.4
1449,1046.2
1450,1038.0
1451,1026.5
1452,1047.0
1453,1043.5
1454,1027.6
1455,1020.5
1456,1002.3
1457,1014.2
1458,1012.0
1459,984.74
1460,983.47
1461,1001.6
1462,1015.6
1463,1018.4
1464,1018.1
1465,1035.4
1466,1045.1
1467,1047.0
1468,1039.4
1469,1036.9
1470,1039.2
1471,1026.5
1472,1017.6
1473,1025.5
1474,1039.7
1475,1036.1
1476,1040.5
1477,1057.3
1478,1065.7
1479,1062.1
